eco shell marathon torque;Distance;Torque
London 2016;m;Nm
;0;0
;40;3.204284713
;50;0.956496381
;68;-4.995124145
;100;-7.891447983
;105;-10.61797503
;148;-8.531059807
;150;-4.543423123
;175;-9.144656538
;200;-9.795201226
;214;-9.497260515
;250;-5.313974585
;258;-6.097825583
;290;-7.21882793
;300;-3.778197486
;341;-4.957536234
;350;-1.328468018
;385;-0.546569115
;400;-0.350715137
;421;-1.161460258
;450;-2.688097018
;468;2.656946288
;500;0.597809995
;515;0.127532767
;550;0.122978025
;573;-1.97537726
;600;7.067698029
;628;-1.895916171
;650;5.499971756
;700;2.649506762
;701;1.912996588
;741;3.431457921
;750;3.028923436
;800;-4.658207923
;825;3.13732854
;850;9.661264113
;862;-15.14704817
;900;-2.441591845
;925;-2.180817852
;950;-2.352989021
;1000;-2.439074719
;1050;-0.219994029
;1083;-1.55068521
;1100;-1.209687083
;1150;-1.559090823
;1170;-4.017329366
;1200;-2.407191118
;1237;-2.442952455
;1250;-2.759137642
;1288;-2.215050693
;1300;-2.231831502
;1350;-2.525160495
;1357;-2.186283599
;1400;-2.168805921
;1408;-2.211904292
;1450;-2.9492139
;1466;-3.437436174
;1500;0.43604959
;1525;-8.513261712
;1550;8.513261712
;1586;20.87683545
;1600;22.48593372
;1650;23.91279137
;1659;23.65634599
;1700;23.87565166
;1716;20.72059293
;1750;8.454174737
;1780;-7.301534488
;1800;-18.60853732
;1845;-20.24124131
;1850;-9.565595211
;1900;1.28170583
;1909;-0.637664018
;1950;-2.367919868
;1978;7.66937494
;2000;-1.108666514
;2018;-9.43272237
;2050;-6.561168806
;2076;-2.887898929
;2100;6.655831068
;2149;7.437542207
;2150;7.652292467
;2185;2.637208771
;2200;-0.765196921
;2219;0.503418905
;2244;2.180817852
